,Emotions,Path,Intensity,Statement,actor
93,happy,/03-01-03-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
94,happy,/03-01-03-02-02-01-02.wav,intense,Dogs are sitting by the door,Actor_02
95,sad,/03-01-04-02-02-01-02.wav,intense,Dogs are sitting by the door,Actor_02
96,disgust,/03-01-07-02-02-02-02.wav,intense,Dogs are sitting by the door,Actor_02
97,disgust,/03-01-07-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
98,sad,/03-01-04-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
99,fear,/03-01-06-02-01-01-02.wav,intense,Kids are talking by the door,Actor_02
100,angry,/03-01-05-02-01-02-02.wav,intense,Kids are talking by the door,Actor_02
101,angry,/03-01-05-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
102,fear,/03-01-06-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
103,surprise,/03-01-08-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
104,surprise,/03-01-08-02-02-02-02.wav,intense,Dogs are sitting by the door,Actor_02
105,disgust,/03-01-07-02-01-01-02.wav,intense,Kids are talking by the door,Actor_02
106,sad,/03-01-04-02-01-02-02.wav,intense,Kids are talking by the door,Actor_02
107,sad,/03-01-04-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
108,disgust,/03-01-07-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
109,angry,/03-01-05-02-02-01-02.wav,intense,Dogs are sitting by the door,Actor_02
110,fear,/03-01-06-02-02-02-02.wav,intense,Dogs are sitting by the door,Actor_02
111,fear,/03-01-06-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
112,angry,/03-01-05-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
113,surprise,/03-01-08-01-02-01-02.wav,normal,Dogs are sitting by the door,Actor_02
114,surprise,/03-01-08-02-01-01-02.wav,intense,Kids are talking by the door,Actor_02
115,calm,/03-01-02-01-01-01-02.wav,normal,Kids are talking by the door,Actor_02
116,neutral,/03-01-01-01-01-02-02.wav,normal,Kids are talking by the door,Actor_02
117,calm,/03-01-02-02-02-01-02.wav,intense,Dogs are sitting by the door,Actor_02
118,happy,/03-01-03-01-02-02-02.wav,normal,Dogs are sitting by the door,Actor_02
119,happy,/03-01-03-02-01-02-02.wav,intense,Kids are talking by the door,Actor_02
120,sad,/03-01-04-02-02-02-03.wav,intense,Dogs are sitting by the door,Actor_03
121,disgust,/03-01-07-02-02-01-03.wav,intense,Dogs are sitting by the door,Actor_03
122,disgust,/03-01-07-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
123,sad,/03-01-04-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
124,fear,/03-01-06-02-01-02-03.wav,intense,Kids are talking by the door,Actor_03
125,angry,/03-01-05-02-01-01-03.wav,intense,Kids are talking by the door,Actor_03
126,angry,/03-01-05-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
127,fear,/03-01-06-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
128,surprise,/03-01-08-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
129,surprise,/03-01-08-02-02-01-03.wav,intense,Dogs are sitting by the door,Actor_03
130,neutral,/03-01-01-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
131,calm,/03-01-02-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
132,calm,/03-01-02-02-01-01-03.wav,intense,Kids are talking by the door,Actor_03
133,happy,/03-01-03-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
134,happy,/03-01-03-02-02-02-03.wav,intense,Dogs are sitting by the door,Actor_03
135,calm,/03-01-02-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
136,neutral,/03-01-01-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
137,calm,/03-01-02-02-02-02-03.wav,intense,Dogs are sitting by the door,Actor_03
138,happy,/03-01-03-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
139,happy,/03-01-03-02-01-01-03.wav,intense,Kids are talking by the door,Actor_03
140,disgust,/03-01-07-02-01-02-03.wav,intense,Kids are talking by the door,Actor_03
141,sad,/03-01-04-02-01-01-03.wav,intense,Kids are talking by the door,Actor_03
142,sad,/03-01-04-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
143,disgust,/03-01-07-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
144,angry,/03-01-05-02-02-02-03.wav,intense,Dogs are sitting by the door,Actor_03
145,fear,/03-01-06-02-02-01-03.wav,intense,Dogs are sitting by the door,Actor_03
146,fear,/03-01-06-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
147,angry,/03-01-05-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
148,surprise,/03-01-08-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
149,surprise,/03-01-08-02-01-02-03.wav,intense,Kids are talking by the door,Actor_03
150,happy,/03-01-03-02-02-01-03.wav,intense,Dogs are sitting by the door,Actor_03
151,happy,/03-01-03-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
152,calm,/03-01-02-02-01-02-03.wav,intense,Kids are talking by the door,Actor_03
153,calm,/03-01-02-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
154,neutral,/03-01-01-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
155,fear,/03-01-06-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
156,angry,/03-01-05-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
157,angry,/03-01-05-02-01-02-03.wav,intense,Kids are talking by the door,Actor_03
158,fear,/03-01-06-02-01-01-03.wav,intense,Kids are talking by the door,Actor_03
159,sad,/03-01-04-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
160,disgust,/03-01-07-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
161,disgust,/03-01-07-02-02-02-03.wav,intense,Dogs are sitting by the door,Actor_03
162,sad,/03-01-04-02-02-01-03.wav,intense,Dogs are sitting by the door,Actor_03
163,surprise,/03-01-08-02-02-02-03.wav,intense,Dogs are sitting by the door,Actor_03
164,surprise,/03-01-08-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
165,angry,/03-01-05-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
166,fear,/03-01-06-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
167,fear,/03-01-06-02-02-02-03.wav,intense,Dogs are sitting by the door,Actor_03
168,angry,/03-01-05-02-02-01-03.wav,intense,Dogs are sitting by the door,Actor_03
169,disgust,/03-01-07-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
170,sad,/03-01-04-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
171,sad,/03-01-04-02-01-02-03.wav,intense,Kids are talking by the door,Actor_03
172,disgust,/03-01-07-02-01-01-03.wav,intense,Kids are talking by the door,Actor_03
173,surprise,/03-01-08-02-01-01-03.wav,intense,Kids are talking by the door,Actor_03
174,surprise,/03-01-08-01-02-01-03.wav,normal,Dogs are sitting by the door,Actor_03
175,happy,/03-01-03-02-01-02-03.wav,intense,Kids are talking by the door,Actor_03
176,happy,/03-01-03-01-02-02-03.wav,normal,Dogs are sitting by the door,Actor_03
177,calm,/03-01-02-02-02-01-03.wav,intense,Dogs are sitting by the door,Actor_03
178,neutral,/03-01-01-01-01-02-03.wav,normal,Kids are talking by the door,Actor_03
179,calm,/03-01-02-01-01-01-03.wav,normal,Kids are talking by the door,Actor_03
180,happy,/03-01-03-02-02-02-04.wav,intense,Dogs are sitting by the door,Actor_04
181,happy,/03-01-03-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
182,calm,/03-01-02-02-01-01-04.wav,intense,Kids are talking by the door,Actor_04
183,neutral,/03-01-01-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
184,calm,/03-01-02-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
185,angry,/03-01-05-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
186,fear,/03-01-06-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
187,fear,/03-01-06-02-01-02-04.wav,intense,Kids are talking by the door,Actor_04
188,angry,/03-01-05-02-01-01-04.wav,intense,Kids are talking by the door,Actor_04
189,disgust,/03-01-07-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
190,sad,/03-01-04-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
191,sad,/03-01-04-02-02-02-04.wav,intense,Dogs are sitting by the door,Actor_04
192,disgust,/03-01-07-02-02-01-04.wav,intense,Dogs are sitting by the door,Actor_04
193,surprise,/03-01-08-02-02-01-04.wav,intense,Dogs are sitting by the door,Actor_04
194,surprise,/03-01-08-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
195,fear,/03-01-06-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
196,angry,/03-01-05-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
197,angry,/03-01-05-02-02-02-04.wav,intense,Dogs are sitting by the door,Actor_04
198,fear,/03-01-06-02-02-01-04.wav,intense,Dogs are sitting by the door,Actor_04
199,sad,/03-01-04-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
200,disgust,/03-01-07-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
201,disgust,/03-01-07-02-01-02-04.wav,intense,Kids are talking by the door,Actor_04
202,sad,/03-01-04-02-01-01-04.wav,intense,Kids are talking by the door,Actor_04
203,surprise,/03-01-08-02-01-02-04.wav,intense,Kids are talking by the door,Actor_04
204,surprise,/03-01-08-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
205,happy,/03-01-03-02-01-01-04.wav,intense,Kids are talking by the door,Actor_04
206,happy,/03-01-03-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
207,calm,/03-01-02-02-02-02-04.wav,intense,Dogs are sitting by the door,Actor_04
208,calm,/03-01-02-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
209,neutral,/03-01-01-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
210,disgust,/03-01-07-02-02-02-04.wav,intense,Dogs are sitting by the door,Actor_04
211,sad,/03-01-04-02-02-01-04.wav,intense,Dogs are sitting by the door,Actor_04
212,sad,/03-01-04-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
213,disgust,/03-01-07-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
214,angry,/03-01-05-02-01-02-04.wav,intense,Kids are talking by the door,Actor_04
215,fear,/03-01-06-02-01-01-04.wav,intense,Kids are talking by the door,Actor_04
216,fear,/03-01-06-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
217,angry,/03-01-05-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
218,surprise,/03-01-08-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
219,surprise,/03-01-08-02-02-02-04.wav,intense,Dogs are sitting by the door,Actor_04
220,calm,/03-01-02-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
221,neutral,/03-01-01-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
222,calm,/03-01-02-02-01-02-04.wav,intense,Kids are talking by the door,Actor_04
223,happy,/03-01-03-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
224,happy,/03-01-03-02-02-01-04.wav,intense,Dogs are sitting by the door,Actor_04
225,neutral,/03-01-01-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
226,calm,/03-01-02-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
227,calm,/03-01-02-02-02-01-04.wav,intense,Dogs are sitting by the door,Actor_04
228,happy,/03-01-03-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
229,happy,/03-01-03-02-01-02-04.wav,intense,Kids are talking by the door,Actor_04
230,sad,/03-01-04-02-01-02-04.wav,intense,Kids are talking by the door,Actor_04
231,disgust,/03-01-07-02-01-01-04.wav,intense,Kids are talking by the door,Actor_04
232,disgust,/03-01-07-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
233,sad,/03-01-04-01-02-02-04.wav,normal,Dogs are sitting by the door,Actor_04
234,fear,/03-01-06-02-02-02-04.wav,intense,Dogs are sitting by the door,Actor_04
235,angry,/03-01-05-02-02-01-04.wav,intense,Dogs are sitting by the door,Actor_04
236,angry,/03-01-05-01-01-01-04.wav,normal,Kids are talking by the door,Actor_04
237,fear,/03-01-06-01-01-02-04.wav,normal,Kids are talking by the door,Actor_04
238,surprise,/03-01-08-01-02-01-04.wav,normal,Dogs are sitting by the door,Actor_04
239,surprise,/03-01-08-02-01-01-04.wav,intense,Kids are talking by the door,Actor_04
240,calm,/03-01-02-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
241,neutral,/03-01-01-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
242,calm,/03-01-02-02-01-01-05.wav,intense,Kids are talking by the door,Actor_05
243,happy,/03-01-03-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
244,happy,/03-01-03-02-02-02-05.wav,intense,Dogs are sitting by the door,Actor_05
245,disgust,/03-01-07-02-02-01-05.wav,intense,Dogs are sitting by the door,Actor_05
246,sad,/03-01-04-02-02-02-05.wav,intense,Dogs are sitting by the door,Actor_05
247,sad,/03-01-04-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
248,disgust,/03-01-07-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
249,angry,/03-01-05-02-01-01-05.wav,intense,Kids are talking by the door,Actor_05
250,fear,/03-01-06-02-01-02-05.wav,intense,Kids are talking by the door,Actor_05
251,fear,/03-01-06-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
252,angry,/03-01-05-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
253,surprise,/03-01-08-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
254,surprise,/03-01-08-02-02-01-05.wav,intense,Dogs are sitting by the door,Actor_05
255,sad,/03-01-04-02-01-01-05.wav,intense,Kids are talking by the door,Actor_05
256,disgust,/03-01-07-02-01-02-05.wav,intense,Kids are talking by the door,Actor_05
257,disgust,/03-01-07-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
258,sad,/03-01-04-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
259,fear,/03-01-06-02-02-01-05.wav,intense,Dogs are sitting by the door,Actor_05
260,angry,/03-01-05-02-02-02-05.wav,intense,Dogs are sitting by the door,Actor_05
261,angry,/03-01-05-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
262,fear,/03-01-06-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
263,surprise,/03-01-08-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
264,surprise,/03-01-08-02-01-02-05.wav,intense,Kids are talking by the door,Actor_05
265,neutral,/03-01-01-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
266,calm,/03-01-02-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
267,calm,/03-01-02-02-02-02-05.wav,intense,Dogs are sitting by the door,Actor_05
268,happy,/03-01-03-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
269,happy,/03-01-03-02-01-01-05.wav,intense,Kids are talking by the door,Actor_05
270,angry,/03-01-05-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
271,fear,/03-01-06-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
272,fear,/03-01-06-02-01-01-05.wav,intense,Kids are talking by the door,Actor_05
273,angry,/03-01-05-02-01-02-05.wav,intense,Kids are talking by the door,Actor_05
274,disgust,/03-01-07-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
275,sad,/03-01-04-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
276,sad,/03-01-04-02-02-01-05.wav,intense,Dogs are sitting by the door,Actor_05
277,disgust,/03-01-07-02-02-02-05.wav,intense,Dogs are sitting by the door,Actor_05
278,surprise,/03-01-08-02-02-02-05.wav,intense,Dogs are sitting by the door,Actor_05
279,surprise,/03-01-08-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
280,happy,/03-01-03-02-02-01-05.wav,intense,Dogs are sitting by the door,Actor_05
281,happy,/03-01-03-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
282,calm,/03-01-02-02-01-02-05.wav,intense,Kids are talking by the door,Actor_05
283,neutral,/03-01-01-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
284,calm,/03-01-02-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
285,happy,/03-01-03-02-01-02-05.wav,intense,Kids are talking by the door,Actor_05
286,happy,/03-01-03-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
287,calm,/03-01-02-02-02-01-05.wav,intense,Dogs are sitting by the door,Actor_05
288,calm,/03-01-02-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
289,neutral,/03-01-01-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
290,fear,/03-01-06-01-01-02-05.wav,normal,Kids are talking by the door,Actor_05
291,angry,/03-01-05-01-01-01-05.wav,normal,Kids are talking by the door,Actor_05
292,angry,/03-01-05-02-02-01-05.wav,intense,Dogs are sitting by the door,Actor_05
293,fear,/03-01-06-02-02-02-05.wav,intense,Dogs are sitting by the door,Actor_05
294,sad,/03-01-04-01-02-02-05.wav,normal,Dogs are sitting by the door,Actor_05
295,disgust,/03-01-07-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
296,disgust,/03-01-07-02-01-01-05.wav,intense,Kids are talking by the door,Actor_05
297,sad,/03-01-04-02-01-02-05.wav,intense,Kids are talking by the door,Actor_05
298,surprise,/03-01-08-02-01-01-05.wav,intense,Kids are talking by the door,Actor_05
299,surprise,/03-01-08-01-02-01-05.wav,normal,Dogs are sitting by the door,Actor_05
300,neutral,/03-01-01-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
301,calm,/03-01-02-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
302,calm,/03-01-02-02-01-01-06.wav,intense,Kids are talking by the door,Actor_06
303,happy,/03-01-03-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
304,happy,/03-01-03-02-02-02-06.wav,intense,Dogs are sitting by the door,Actor_06
305,surprise,/03-01-08-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
306,surprise,/03-01-08-02-02-01-06.wav,intense,Dogs are sitting by the door,Actor_06
307,sad,/03-01-04-02-02-02-06.wav,intense,Dogs are sitting by the door,Actor_06
308,disgust,/03-01-07-02-02-01-06.wav,intense,Dogs are sitting by the door,Actor_06
309,disgust,/03-01-07-01-01-01-06.wav,normal,Kids are talking by the door,Actor_06
310,sad,/03-01-04-01-01-02-06.wav,normal,Kids are talking by the door,Actor_06
311,fear,/03-01-06-02-01-02-06.wav,intense,Kids are talking by the door,Actor_06
312,angry,/03-01-05-02-01-01-06.wav,intense,Kids are talking by the door,Actor_06
313,angry,/03-01-05-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
314,fear,/03-01-06-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
315,surprise,/03-01-08-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
316,surprise,/03-01-08-02-01-02-06.wav,intense,Kids are talking by the door,Actor_06
317,disgust,/03-01-07-02-01-02-06.wav,intense,Kids are talking by the door,Actor_06
318,sad,/03-01-04-02-01-01-06.wav,intense,Kids are talking by the door,Actor_06
319,sad,/03-01-04-01-02-01-06.wav,normal,Dogs are sitting by the door,Actor_06
320,disgust,/03-01-07-01-02-02-06.wav,normal,Dogs are sitting by the door,Actor_06
321,angry,/03-01-05-02-02-02-06.wav,intense,Dogs are sitting by the door,Actor_06
